,number,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description,picture_file
0,1,Sunset Heights,"$650,000",3,2,"1,800","Welcome to Sunset Heights, where modern living meets comfort! This stunning 3-bedroom, 2-bathroom home features an inviting living area adorned with a cozy sofa and a contemporary coffee table, perfect for gatherings. The kitchen boasts high-end appliances and a stylish island that provides both prep space and casual dining. Enjoy the luxury of a backyard oasis complete with a patio for entertaining and a beautifully landscaped garden. Additional amenities include a two-car garage and access to a community gym, ensuring a healthy lifestyle is at your fingertips.","Sunset Heights is a vibrant neighborhood known for its family-friendly atmosphere and a wealth of outdoor recreational options. Residents enjoy local parks, hiking trails, and a community pool. The area offers convenient access to shopping, cafes, and schools, making it an ideal place for families and professionals alike.",././listing_pictures/1-Bedroom-Living_Kitchen-Side-View.jpg
1,2,Hilltop Estates,"$1,200,000",4,3,"2,500","Discover your dream home in the prestigious Hilltop Estates. This exquisite 4-bedroom, 3-bathroom residence sits on a spacious lot with an enchanting outdoor pool and a lush backyard. The living area is bathed in natural light from oversized windows, complemented by elegant furnishings and a wall-mounted TV for ultimate comfort. The chef’s kitchen, equipped with premium appliances, opens to both the dining area and the inviting outdoor space, perfect for summer barbecues and family gatherings. This home also includes a three-car garage and a private gym.","Hilltop Estates is an exclusive community perched atop scenic hills, offering breathtaking views and serene surroundings. Residents enjoy excellent amenities including walking trails, a nearby golf course, and upscale shopping centers. The neighborhood emphasizes tranquility while being just a short drive from downtown.",././listing_pictures/e6517ee30992c2909a75ed7ecf24953f.jpg
2,3,Maple Grove,"$450,000",2,1,"1,200","Welcome to Maple Grove, a charming abode designed for modern living. This delightful 2-bedroom, 1-bathroom home's living area is tastefully decorated for relaxation. The open-concept kitchen features modern appliances and a convenient bar stool area for casual meals. A small yet inviting backyard provides a perfect spot for gardening or outdoor gatherings. The house includes a single-car garage and a community clubhouse, creating a warm sense of belonging.","Maple Grove is a friendly community surrounded by beautiful parks and local markets. With its quaint streets and welcoming neighbors, it's ideal for first-time homeowners and young families looking for a safe and vibrant environment.",././listing_pictures/7-763-Bay-St-Unit-4705-living-room-neutral-colours-beautiful-decor-2-850x638.jpg
3,4,Willow Creek,"$900,000",5,4,"3,200","Experience luxury living in the heart of Willow Creek! This magnificent 5-bedroom, 4-bathroom home features a spacious living area with stylish decor and ample seating, perfect for entertaining. The gourmet kitchen is equipped with top-of-the-line appliances and a large island that overlooks a breakfast nook. Step outside to a sprawling backyard with an outdoor kitchen and pool, ideal for summer enjoyment. Additional highlights include a finished basement and a three-car garage, providing plenty of space for activities and storage.","Willow Creek is a desirable neighborhood known for its stunning landscapes and family-oriented atmosphere. The area is dotted with parks, recreational facilities, and top-rated schools, making it a perfect choice for families looking for an active lifestyle. Enjoy easy access to shops, restaurants, and community events that foster a tight-knit community.",././listing_pictures/67093a43-4371-412d-a88c-dcc083dc3826.jpg
4,5,Birch Valley,"$700,000",3,2,"1,700","Step into Birch Valley, where elegance meets comfort in this lovely 3-bedroom, 2-bathroom home. The spacious living area features neutral-toned furniture and a warm ambiance, perfect for family movie nights. The modern kitchen is designed for functionality and boasts stainless steel appliances and a sleek island for entertaining. Relax in the peaceful backyard or utilize the community's fabulous amenities, including walking paths and a playground. A two-car garage completes this wonderful home.","Birch Valley is a peaceful neighborhood, ideal for families who appreciate nature and community spirit. With the convenience of nearby shopping and dining, as well as access to excellent schools and parks, it's a fantastic location for those looking for the perfect balance between suburban tranquility and urban convenience.",././listing_pictures/04_FamilyRoom.jpg
5,6,Maple Valley,"$720,000",3,2,1800 sqft,"Welcome to this stylish 3-bedroom, 2-bathroom home located in the tranquil Maple Valley neighborhood. This property features a spacious living area with high ceilings and large windows that illuminate the stunning hardwood floors. The modern kitchen is equipped with sleek appliances and an island perfect for casual dining. Step outside to your private backyard, ideal for entertaining with a built-in barbecue and a patio for outdoor dining. With an attached two-car garage and a community pool just a short walk away, this home strikes the perfect balance between comfort and convenience.","Maple Valley is a family-friendly community known for its beautiful parks and recreational facilities. Enjoy access to walking trails, tennis courts, and a local library. The neighborhood also hosts seasonal farmers' markets and community events, fostering a welcoming atmosphere for residents.",././listing_pictures/newsletter-scaled.jpg
6,7,Oak Ridge,"$950,000",4,3,2500 sqft,"Discover this elegant 4-bedroom, 3-bathroom residence in the desirable Oak Ridge neighborhood. The open floor plan boasts a spacious living area featuring a cozy fireplace and modern furnishings. The adjoining kitchen comes with top-of-the-line appliances and an expansive island for family gatherings. Relax in the beautifully landscaped backyard equipped with a deck and an outdoor kitchen, perfect for those summer barbecues. This home also includes a dedicated home gym and ample parking for two cars in the garage.","Oak Ridge is a picturesque community that offers a blend of suburban tranquility and urban convenience. Nearby amenities include boutique shopping, gourmet restaurants, and a well-regarded school district. The neighborhood features plenty of green spaces and community parks, perfect for outdoor activities.",././listing_pictures/304779a3e3b708ce08d3310f2edafeaf.jpg
7,8,Riverfront Estates,"$1,200,000",5,4,3200 sqft,"Welcome to this stunning 5-bedroom, 4-bathroom home in the luxurious Riverfront Estates. This property showcases an expansive living area with elegant decor and an inviting fireplace. The gourmet kitchen features high-end appliances, a large island, and quartz countertops. Enjoy breathtaking views from the expansive windows that overlook the beautifully manicured backyard with an outdoor pool and spa. The home includes a spacious two-car garage, a dedicated home office, and a movie theater room for entertainment.","Riverfront Estates is an exclusive neighborhood known for its upscale living and stunning river views. Residents enjoy access to private parks, nature trails, and a community clubhouse with recreational facilities. The area is conveniently located near top-tier schools, shopping centers, and fine dining options, making it a perfect place for families and young professionals alike.",././listing_pictures/0906d332be76e32d96ac480a6624e838-cc_ft_960.jpg
8,9,Sunnydale,"$580,000",2,1,1200 sqft,"Charming and bright, this 2-bedroom, 1-bathroom home in Sunnydale offers a cozy living experience. The open living area is adorned with contemporary furniture and large windows that let in plenty of natural light. The adjoining kitchen is modern with sleek appliances and ample storage. The property features a private backyard for relaxation and outdoor activities. A dedicated parking space ensures convenience for residents and guests alike.","Sunnydale is a vibrant community with a friendly atmosphere. Residents can enjoy local eateries, parks, and community events that bring neighbors together. The neighborhood is also well-connected, with easy access to public transportation, making commuting a breeze.",././listing_pictures/pvfc5iga00d61.jpg
9,10,Hillside View,"$850,000",3,2,2100 sqft,"Welcome to your dream home in Hillside View, featuring 3 bedrooms and 2 bathrooms. This home offers a spacious and airy living area with a modern aesthetic and an inviting fireplace. The kitchen is a chef's delight, with stylish cabinetry and an island that serves as the perfect gathering spot. Take advantage of the spacious yard equipped with a fire pit, ideal for evenings under the stars. This property also features a two-car garage and a community fitness center nearby, promoting an active lifestyle.","Hillside View is known for its scenic vistas and family-friendly environment. The community offers excellent schools, parks for children, and a range of recreational activities. With convenient access to shopping, dining, and public transport, Hillside View is a perfect blend of comfort and accessibility.",././listing_pictures/ef1dbd5aedcd97277fa358f799244fcd-cc_ft_960.jpg
10,11,Lush Meadows,"$750,000",3,2,"2,100","Welcome to this elegant 3-bedroom, 2-bathroom home in Lush Meadows. This stunning property features an open-concept living area with a modern kitchen, sleek polished hardwood floors, and large windows that provide breathtaking views of the lush garden. Enjoy the spacious backyard perfect for entertaining or relaxing amidst nature. Additional amenities include a community clubhouse with a gym and swimming pool, ideal for families looking to stay active. Don't miss your chance to own a piece of paradise in Lush Meadows!","Lush Meadows is a tranquil community perfect for families, with top-rated schools, beautiful parks, and a vibrant local market. Stroll through the leafy neighborhood or relax in the serene parks.",././listing_pictures/JPP_5152_1000-600x400.jpg
11,12,Sunnyvale Heights,"$850,000",4,3,"2,500","Discover this beautifully designed 4-bedroom, 3-bathroom home situated in the heart of Sunnyvale Heights. The open living area seamlessly integrates with a gourmet kitchen, making it perfect for gatherings. The residence boasts high ceilings with modern lighting, polished hardwood floors, and spacious windows that invite natural light. Step outside to a private backyard with a well-maintained garden. Additional highlights include a 2-car garage and access to a fitness center and outdoor pool within the community, ensuring an active lifestyle.","Sunnyvale Heights is a vibrant neighborhood known for its excellent amenities, including parks, shopping centers, and recreational facilities. Enjoy community events and nearby schools, making this area ideal for families looking for an active lifestyle.",././listing_pictures/interior-design-of-spacious-open-plan-living-room-with-comfortable-furniture-and-spiral-staircase-in-modern-apartment-with-kitchen-ADSF43473.jpg
12,13,Maple Grove,"$600,000",2,2,"1,750","Welcome to your cozy retreat in Maple Grove, featuring 2 bedrooms and 2 bathrooms. This home showcases an inviting living area that flows into an open kitchen adorned with modern appliances and ample counter space. The high ceilings and warm lighting create a welcoming atmosphere. Enjoy a quaint backyard perfect for gardening or outdoor barbecues. The community offers multiple walking trails and a park for residents to enjoy outdoor activities. Experience comfort and tranquility in this lovely Maple Grove home!","Maple Grove is a peaceful neighborhood with a focus on nature and community. With plenty of local parks and a friendly atmosphere, it's perfect for those seeking a quieter lifestyle while being close to essential services.",././listing_pictures/Open-Studio-Apartment-in-Kiev.jpg
